Downloaded for distribution	Checked by QA	yes/no	yes/no	yes/no	#	R2RS, R2RN, Polanui, Olowalu	LLHS	initials	initials	initials	RCB	RCB031717	2062	Canoe Beach	03/17/17	12:00											deg C	ppt	mg/L	%							MPN	0, 1, 2, 3, 4	0-8	0-5	0, 1, 5, 10, 20+	0, 1, 5, 10, 20+	0, 1, 5, 10, 20+					
	yes	yes	no	no	135	Makena/Wailea	NMS	DG	JD	DC_BM	WKB	WKB250820		Keawakapu S	2025-08-20	8:00	3	5	9	3	11					WKB250820	27.8	36.8	6.39	98.8	8.09	1.30	1.27	1.28	1.28	0.012				N	9	20	0	low tide -0.1ft at 7:13am, partly sunny, no wind, calm seas, music video recording team of 3 with a floating matress moored in the water 100ft past sampling site, 4th turb=1.30, 5th NTU= 1.28				
	yes	yes	no	no	135	Makena/Wailea	NMS	DG	JD	DC_BM	WUL	WUL250820		Ulua Beach	2025-08-20	8:20	3	5	9	3	11					WUL250820	27.7	36.2	6.31	97.3	8.06	4.27	4.29	4.45	4.34	0.023				N	11	15	0	low tide -0.1ft at 7:13am, partly cloudy, no wind, 1ft shorebreak, commercial shore scuba diving resuming, 4th NTU=4.29, 5th NTU=4.27				
	yes	yes	no	no	135	Makena/Wailea	NMS	DG	JD	DC_BM	WPL	WPL250820		Palau'ea Beach	2025-08-20	8:40	3	5	9	3	11					WPL250820	28.0	36.7	6.35	98.6	8.11	0.91	0.80	0.89	0.87	0.068				N	0	4	0	low tide -0.1ft at 7:13am, partly sunny, no wind, 1ft shorebeak, turtle nest enclosure roped off near treeline, 4th NTU=1.62, 5th NTU=0.89				
	yes	yes	no	no	135	Makena/Wailea	NMS	DG	JD	DC_BM	MMB	MMB250820		S Maluaka Beach	2025-08-20	9:03	3	5	9	3	11					MMB250820	27.9	36.4	6.21	96.3	8.12	0.78	0.68	0.91	0.79	0.146				N	1	2	0	low tide -0.1ft at 7:13am, partially cloudy, no wind, 1-2ft shorebeak, 4th turb= 0.58, 5th turb=0.86				
	yes	yes	no	no	135	Makena/Wailea	NMS	DG	JD	DC_BM	MAN	MAN250820		Ahihi North	2025-08-20	9:25	3	5	9	3	11					MAN250820	27.1	36.2	6.91	105.4	8.09	0.86	0.85	0.78	0.83	0.053				N	0	0	0	low tide -0.1ft at 7:13am, cloudy, some sprinkles, low tide, almost no waves, 4th turb=1.10, 5th turb=0.86				
	yes	yes	no	no	135	Makena/Wailea	NMS	DG	JD	DC_BM	MAS	MAS250820		Ahihi South	2025-08-20	9:45	3	5	9	3	11					MAS250820	27.5	36.8	6.54	100.8	8.12	0.78	0.84	0.76	0.79	0.052				N	7	5	0	low tide -0.1ft at 7:13am, cloudy, light wind, calm seas, rocks on beach moved-steeper beach from large south swell 2 weeks ago, black sand on beach before sampling site is new, brief light sprinkle post sample collection, 4th turb=0.84				
	yes	yes	no	no	136	Makena/Wailea	NMS	DG	JD	DC_BM	WKB	WKB250910		Keawakapu S	2025-09-10	7:57	4	2	8	4	10					WKB250910	27.5	36.6	6.58	101.4	8.12	0.68	0.64	0.67	0.66	0.031				N	2	5	0	high tide 1.7ft at 5:30am low tide 0.4ft at 11:06am, turbidity vial had light scratch, used silicone and took second reading for pre-sample verification,1-2ft swells, no wind, sunny, water looks clear, 4th NTU=0.95, 5th=0.64				
	yes	yes	no	no	136	Makena/Wailea	NMS	DG	JD	DC_BM	WUL	WUL250910		Ulua Beach	2025-09-10	8:16	4	2	8	4	10					WUL250910	27.3	36.5	6.59	101.4	8.14	0.60	0.70	0.62	0.64	0.083				N	4	8	0	high tide 1.7ft at 5:30am low tide 0.4ft at 11:06am, low wind, 1 ft swells, clear skies, 4th NTU=0.70, 5th NTU=0.62				
	yes	yes	no	no	136	Makena/Wailea	NMS	DG	JD	DC_BM	WPL	WPL250910		Palau'ea Beach	2025-09-10	8:40	4	2	8	4	10					WPL250910	27.4	36.7	6.56	101.2	8.13	1.93	1.87	1.98	1.93	0.029				N	0	0	0	high tide 1.7ft at 5:30am low tide 0.4ft at 11:06am, 3ft shore break, surge and backwash, low wind, clear skies, sand in turb and nutrient sample, 4th=3.09, 5th NTu=1.98, 6th NTU=1.93				
	yes	yes	no	no	136	Makena/Wailea	NMS	DG	JD	DC_BM	MMB	MMB250910		S Maluaka Beach	2025-09-10	9:00	4	2	8	4	10					MMB250910	27.8	36.6	6.36	98.8	8.09	0.94	0.91	1.03	0.96	0.065				N	0	9	0	high tide 1.7ft at 5:30am low tide 0.4ft at 11:06am, 1ft shorebreak, low wind, sunny				
	yes	yes	no	no	136	Makena/Wailea	NMS	DG	JD	DC_BM	MAN	MAN250910		Ahihi North	2025-09-10	9:25	4	2	8	4	10					MAN250910	27.1	36.5	6.76	103.9	8.08	1.20	1.38	1.25	1.28	0.073				N	0	0	0	high tide 1.7ft at 5:30am low tide 0.4ft at 11:06am, 1ft shorebreak at road edge, low wind, partly cloudy, 4th NTU=1.20				
	yes	yes	no	no	136	Makena/Wailea	NMS	DG	JD	DC_BM	MAS	MAS250910		Ahihi South	2025-09-10	9:39	4	2	8	4	10					MAS250910	27.3	36.7	6.49	100.2	8.08	1.64	1.83	1.71	1.73	0.056				N	0	6	0	high tide 1.7ft at 5:30am low tide 0.4ft at 11:06am, surfers out, close shorebreak, low wind, 4th NTU=1.71, 5th NTU=1.64				
