Downloaded for distribution	Checked by QA	yes/no	yes/no	yes/no	#	R2RS, R2RN, Polanui, Olowalu	LLHS	initials	initials	initials	RCB	RCB031717	2062	Canoe Beach	2017-03-17	12:00											deg C	ppt	mg/L	%							MPN	0, 1, 2, 3, 4	0-8	0-5	0, 1, 5, 10, 20+	0, 1, 5, 10, 20+	0, 1, 5, 10, 20+	
		Nut_Sample	Nut_Dup	Sed_Sample	Session	Team	Lab	Sampler	Sampler2	Sampler3	Station	SampleID	Location	SiteName	Date	Time	40D/HQ2200#	2100Q#	pHInst#	DOInst#	SalInst#	Moon	Cloud_1_8	Rain_1_4	Wind_dir	SampleID2	Temp	Salinity	DO	DO%	pH	Turb1	Turb2	Turb3	Average Turbidity	CV Turbidity	Enterococcus (CFU) 	Waves	Wind	Stream	Swimmers	On Beach	Campers	Comments
yes	yes	yes	no	no	122	North Kihei	NMS	CK	IR_PJ	AH_NC	NKN	NKN241114		Kalepolepo North	2024-11-14	10:12	4	2	8	4	10					NKN241114	26.1	34.2	6.43	95.2	8.16	8.92	8.95	8.56	8.81	0.025				N	0	10	0	Brown water nearshore. Sunny, hot. No wind. <1ft swell / shorebreak. 4th turbidity reading = 16.0. 5th turbidity reading = 6.84. 6th turbidity reading = 8.13. 7th turbidity reading = 5.99. 8th turbidity reading = 8.92. 9th turbidity reading = 8.95. Lots of larger particulates, and sand floating in the turbidity vial. 
yes	yes	yes	no	no	123	North Kihei	NMS	CK	DG	PJ_IR	NMH	NMH241205		Maalaea Harbor	2024-12-05	7:53	3	2	5	3	11					NMH241205	26.1	36.7	6.20	93.0	8.17	0.99	1.00	1.04	1.01	0.026				N	0	0	0	Salinity Values approved by QA (meter concern). Raining heavy right before sampling. Actively raining during sampling collection & reading. Used bucket lid. Clear water. Stormy / overcast. High tide. No wind to light breeze. 4th turbidity reading = 0.99. 5th turbidity reading = 1.04. 
yes	yes	yes	no	no	123	North Kihei	NMS	CK	DG	PJ_IR	NMC	NMC241205		Maalaea Condos	2024-12-05	8:22	3	2	5	3	11					NMC241205	25.6	36.7	6.50	96.8	8.04	3.82	3.65	4.04	3.84	0.051				N	0	0	0	Salinity Values approved by QA (meter concern). Re-paving Hauoli street. Just rained, puddles & wet ground. No wind. Overcast. 1-2ft swell / shorebreak. High tide. No rain. Pretty clear water. 2 turtles at sample site. Fine floating particulates in turbidity vial. 4th turbidity reading = 3.65. 
yes	yes	yes	no	no	123	North Kihei	NMS	CK	DG	PJ_IR	NHP	NHP241205		Haycraft Park	2024-12-05	8:45	3	2	5	3	11					NHP241205	25.9	36.7	6.63	99.5	8.08	9.57	8.99	9.40	9.32	0.032				N	0	4	3	Salinity & pH Values approved by QA (meter concern). Re-paving Hauoli street. Beach park closed. 7 min walk to parking spot. Construction on the road. Large campsite on beach. Overcast. 2-3ft swell / shorebreak. Brownish water. Sandy samples. Light breeze. Long wait-time before reading temperature. Out of range pH value troubleshooting: unplug & replug probe- starting to question left port on meter. 2nd pH reading = 8.08. 3rd pH reading = 8.08, value stabilized. 
yes	yes	yes	no	no	123	North Kihei	NMS	CK	DG	PJ_IR	NKP	NKP241205		Kealia Pond	2024-12-05	9:20	3	2	5	3	11					NKP241205	26.3	37.4	6.68	101.3	8.15	1.50	1.55	1.55	1.53	0.019				N	0	9	0	Salinity & pH Values approved by QA (meter concern). Sunny, hot. Light breeze. 1-2ft swell / shorebreak. Sandy samples. Fairly clear water. Out of range pH value troubleshooting: unplug & replug probe- starting to question left port on meter. 2nd pH reading = 8.15. 3rd pH reading = 8.15, value stabilized. DO probe temperature = 26.1. 4th turbidity reading = 1.50. 5th turbidity reading = 1.55.
yes	yes	no	no	no	123	North Kihei	NMS	CK	DG	PJ_IR	NSB	NSB241205		Sugar Beach	2024-12-05	9:42	3	2	5	3	11					NSB241205	26.8	37.4	6.63	101.5	8.13	7.39	7.27	7.36	7.34	0.009				N	0	2	0	Salinity Values approved by QA (meter concern). Brown water. 3ft shorebreak. Sandy samples. Sunny, hot. No wind. Out of range salinity value troubleshooting: unplug & replug probe- starting to question left port on meter. 2nd salinity reading = 37.4. 4th turbidity reading = 7.39. 5th turbidity reading = 7.27.
yes	yes	yes	no	no	123	North Kihei	NMS	CK	DG	PJ_IR	NKC	NKC241205		Kihei Canoe Club	2024-12-05	10:02	3	2	5	3	11					NKC241205	27.0	37.1	6.58	100.7	8.13	24.9	25.5	25.7	25.4	0.016				N	0	0	0	Salinity Values approved by QA (meter concern). Very brown water. 2-3ft shorebreak. Sunny, hot. No wind. Sandy samples. Sand in turbidity vial. pH probe temperature = 26.9. 
yes	yes	yes	no	no	124	North Kihei	NMS	CK_LY	DG	AH_IR	NMH	NMH250102		Maalaea Harbor	2025-01-02	7:54	4	2	8	4	10					NMH250102	24.3	36.0	6.11	88.5	8.09	0.57	0.62	0.58	0.59	0.045				N	0	0	0	High tide. Pretty clear. Sunny. Breeze. Boat docked with passengers behind sample site. A lot of boat traffic/activity. 
yes	yes	yes	no	no	124	North Kihei	NMS	CK_LY	DG	AH_IR	NMC	NMC250102		Maalaea Condos	2025-01-02	8:22	4	2	8	4	10					NMC250102	24.0	36.0	6.32	91.1	8.00	7.89	7.80	8.00	7.90	0.013				N	0	0	0	Sunny. 1ft shorebreak. Breezy. Red limu on beach. Murky water, lots of floaters. 2nd pH reading = 8.0. 3rd pH reading = 8.0.
yes	yes	yes	no	no	124	North Kihei	NMS	CK_LY	DG	AH_IR	NHP	NHP250102		Haycraft Park	2025-01-02	8:44	4	2	8	4	10					NHP250102	24.3	36.1	6.25	90.8	8.11	1.27	1.38	1.35	1.33	0.043				N	8	12	6	Sunny, hot. Very clear water. <1ft shorebreak. 3 fishers on beach. Calm water. Gentle breeze. 4th turbidity reading = 1.38. 
yes	yes	yes	no	no	124	North Kihei	NMS	CK_LY	DG	AH_IR	NKP	NKP250102		Kealia Pond	2025-01-02	9:15	4	2	8	4	10					NKP250102	25.0	36.4	6.72	98.9	8.15	0.41	0.49	0.48	0.46	0.095				N	0	3	0	Clear water. 1ft shorebreak. No clouds. Very gentle breeze. 4th turbidity reading = 0.41.
yes	yes	no	no	no	124	North Kihei	NMS	CK_LY	DG	AH_IR	NSB	NSB250102		Sugar Beach	2025-01-02	9:41	4	2	8	4	10					NSB250102	25.2	36.4	6.68	98.8	8.15	1.60	1.40	1.54	1.51	0.068				N	2	2	0	1ft shorebreak. Clear water. Sunny. No wind. Tourist activity on beach and water beyond 100ft radius. 4th turbidity reading = 1.96. 5th turbidity reading = 1.60.
yes	yes	yes	no	no	124	North Kihei	NMS	CK_LY	DG	AH_IR	NKC	NKC250102		Kihei Canoe Club	2025-01-02	10:00	4	2	8	4	10					NKC250102	25.6	35.9	6.58	97.6	8.11	3.52	3.28	3.38	3.39	0.036				N	0	3	0	Brown water nearshore, clearer further out. Sunny, hot. No wind. Calm water. 1ft shorebreak. 4th turbidity reading = 4.21. 5th turbidity reading = 3.52.
yes	yes	yes	no	no	125	North Kihei	NMS	CK_DG_LY	IR_GB	PJ_AH	NMH	NMH250123		Maalaea Harbor	2025-01-23	7:51	3	5	5	3	11					NMH250123	24.6	36.3	6.36	92.8	8.18	0.81	0.90	0.80	0.84	0.066				N	0	0	0	heavy rainfall 01/22 night. clear water. no wind. calm water. no swell. sunny. boat docked with passenger around corner. 4th turbidity reading= 0.81.
yes	yes	yes	no	no	125	North Kihei	NMS	CK_DG_LY	IR_GB	PJ_AH	NMC	NMC250123		Maalaea Condos	2025-01-23	8:21	3	5	5	3	11					NMC250123	24.3	35.5	6.89	99.7	8.10	1.55	1.57	1.53	1.55	0.013				N	0	1	0	heavy rainfall 01/22 night. clear water. no wind. calm water. no swell. sunny. lots of limu, red and green. honu. floaters in the turbidity vial. 4th turbidity reading = 1.57. pH 2nd read: 7.66, unplugged and replugged into other port, 3rd pH read = 8.10, 4th pH reading= 8.10.
yes	yes	yes	no	no	125	North Kihei	NMS	CK_DG_LY	IR_GB	PJ_AH	NHP	NHP250123		Haycraft Park	2025-01-23	8:46	3	5	5	3	11					NHP250123	24.6	36.2	6.56	95.8	8.17	2.33	2.43	2.53	2.43	0.041				N	0	3	1	heavy rainfall 01/22 night. evidence of recent rain, dog on beach. calm, glassy water. no wind. overcast. < 1 ft shorebreak, pretty clear. 4th turbidity reading = 2.33.
yes	yes	yes	yes	no	125	North Kihei	NMS	CK_DG_LY	IR_GB	PJ_AH	NKP	NKP250123		Kealia Pond	2025-01-23	9:15	3	5	5	3	11					NKP250123	24.8	37.0	6.80	100.1	8.18	1.20	1.35	1.34	1.30	0.065				N	0	4	0	heavy rainfall 01/22 night. 1ft-2ft shorebreak. glassy. overcast. evidence of recent rain. foot traffic across beach. clear. sand in turbidity vial. 4th turbidity reading = 1.34. 5th turbidity reading= 1.20. 2nd Salinity reading = 37.0.
yes	yes	no	no	no	125	North Kihei	NMS	CK_DG_LY	IR_GB	PJ_AH	NSB	NSB250123		Sugar Beach	2025-01-23	9:50	3	5	5	3	11					NSB250123	25.1	36.8	6.79	100.6	8.12	11.7	11.7	10.2	11.2	0.077				N	0	11	0	heavy rainfall 01/22 night. 1ft shorebreak. sunny. lots of foot traffic. brown water near shore. glassy. 4th turbidity reading = 11.7.
yes	yes	yes	no	no	125	North Kihei	NMS	CK_DG_LY	IR_GB	PJ_AH	NKC	NKC250123		Kihei Canoe Club	2025-01-23	10:05	3	5	5	3	11					NKC250123	25.3	36.5	6.75	100.6	8.14	18.7	17.7	18.6	18.3	0.030				N	0	3	0	heavy rainfall 01/22 night. Brown water. 1 ftshorebreak. sunny. no wind. glassy. dog on beach. Sand in turbidity vial. 4th turbidity reading = 20.7. 5th turbidity reading = 16.0. 6th turbidity reading = 17.7.
yes	yes	yes	no	no	126	North Kihei	NMS	DG	IR	PJ	NMH	NMH250213		Maalaea Harbor	2025-02-13	7:56	4	2	8	4	10					NMH250213	25.1	35.9	6.45	94.9	8.11	1.05	0.92	1.00	0.99	0.066				N	0	0	0	raft ties to ferry dock had 4 engines running with props moving water ~10feet from sampling, sunny, calm, no wind
yes	yes	yes	no	no	126	North Kihei	NMS	DG	IR	PJ	NMC	NMC250213		Maalaea Condos	2025-02-13	8:29	4	2	8	4	10					NMC250213	24.9	35.6	6.84	100.4	8.01	3.95	3.44	3.83	3.74	0.071				N	0	1	0	little murky, sunny, no wind, 1 ft shorebreak, falling tide, some limu on beach, limu in turb vial, 4th NTU=4.27 (car door moved), 5th read=4.62, 2nd pH=7.99, 3rd=8.01, 4th=8.01
yes	yes	yes	no	no	126	North Kihei	NMS	DG	IR	PJ	NHP	NHP250213		Haycraft Park	2025-02-13	8:52	4	2	8	4	10					NHP250213	25.4	35.9	6.72	99.6	8.00	6.54	6.6	6.94	6.69	0.032				N	0	10	0	no wind, 1.5 ft shorebreak, bit murky water, firepit, new dune planting, shower doesn't turn off (~100 ft from ocean), 4th NTU=6.54, 5th=6.60
yes	yes	yes	yes	no	126	North Kihei	NMS	DG/LY	IR	PJ	NKP	NKP250213		Kealia Pond	2025-02-13	9:30	4	2	8	4	10					NKP250213	25.7	36.5	6.86	102.5	8.13	2.22	2.19	2.26	2.22	0.016				N	0	1	0	evidence of high tide storm surge (branches and mulch), sunny, no wind, 2-3ft shorebreak, 1 dog on beach, 
yes	yes	no	no	no	126	North Kihei	NMS	DG/LY	IR	PJ	NSB	NSB250213		Sugar Beach	2025-02-13	10:01	4	2	8	4	10					NSB250213	26.1	36.3	6.80	102.3	8.05	15.10	15.4	14.70	15.07	0.023				N	2	4	0	boardwalk and stairs damaged by major erosion from storm, mud washed down alley, brown water, 2ft shorebreak, sunny, no wind, 4th NTU=15.1, 5th NTU=14.7
yes	yes	yes	no	no	126	North Kihei	NMS	DG/LY	IR	PJ	NKC	NKC250213		Kihei Canoe Club	2025-02-13	10:26	4	2	8	4	10					NKC250213	26.5	35.9	6.65	100.4	7.99	38.00	38.5	36.50	37.67	0.028				N	0	0	0	severe storm damage, erosion, dark brown water, sunny, 2 ft shorebreak, lots of debris, confirmed pH
yes	yes	yes	no	no	127	North Kihei	NMS	LY	IR	GB	NMH	NMH250306		Maalaea Harbor	2025-03-06	7:57	3	5	9	3	11					NMH250306	24.2	36.3	6.29	90.9	8.09	1.15	1.23	1.35	1.24	0.081				N	0	2	0	Low tide: 6:49am - 0.3". High tide 8:45am - 0.4'. Light breeze. no clouds. calm waters. 4th turbidity= 1.42
yes	yes	yes	no	no	127	North Kihei	NMS	LY	IR	GB	NMC	NMC250306		Maalaea Condos	2025-03-06	8:29	3	5	9	3	11					NMC250306	24.3	34.9	7.18	103.1	8.02	6.15	5.79	6.07	6.00	0.031				N	1	0	0	Low tide: 6:49am - 0.3". High tide 8:45am - 0.4'. beached turtle re-entered the water right before sampling. gentle breeze. small particles floating in turbidity bottle. 4th turbidity= 5.79.
yes	yes	yes	no	no	127	North Kihei	NMS	LY	IR	GB	NHP	NHP250306		Haycraft Park	2025-03-06	8:48	3	5	9	3	11					NHP250306	24.5	36.4	6.84	99.5	8.11	3.52	3.48	3.67	3.56	0.028				N	0	2	1	Low tide: 6:49am - 0.3". High tide 8:45am - 0.4'. Calm shorebreak. gentle breeze. no clouds. 4th turbidity= 3.48
yes	yes	yes	no	no	127	North Kihei	NMS	LY	IR	GB	NKP	NKP250306		Kealia Pond	2025-03-06	9:20	3	5	9	3	11					NKP250306	25.1	37.0	6.82	100.7	8.15	1.34	1.35	1.22	1.30	0.056				N	2	3	0	Low tide: 6:49am - 0.3". High tide 8:45am - 0.4'. water looks clear. breeze picking up but still light. debris on beach from storm over a month ago. 
yes	yes	yes	no	no	127	North Kihei	NMS	LY	IR	GB	NSB	NSB250306		Sugar Beach	2025-03-06	9:51	3	5	9	3	11					NSB250306	26.0	36.5	6.75	100.8	8.10	15.9	15.6	16.3	15.9	0.022				N	1	6	0	Low tide: 6:49am - 0.3". High tide 8:45am - 0.4'. Very murky water. ~1 ft shorebreak, silt/mud dried on boardwalk to beach from storm one month ago; boardwalk damaged from storm, storm debris on beach. breeze is calmer. 1st nutrient sample taken at this site since re-establishing it. 
yes	yes	yes	no	no	127	North Kihei	NMS	LY	IR	GB	NKC	NKC250306		Kihei Canoe Club	2025-03-06	10:14	3	5	9	3	11					NKC250306	26.3		6.50	99.0	8.06	44.20	45.0	42.20	43.80	0.033				N	0	1	0	Low tide: 6:49am - 0.3". High tide 8:45am - 0.4'. very dark brown water. beach damage still present from last month's storm. breeze is picking up from north. 1 ft shorebreak.
yes	yes	yes	no	no	128	North Kihei	NMS	DG_IR	GB	PJ	NMH	NMH250327		Maalaea Harbor	2025-03-27	7:48	4	2	8	4	10					NMH250327	25.0	35.4	6.59	96.3	8.11	0.83	1.02	0.98	0.94	0.106				N	0	0	0	low tide, calm water, no wind, sunny, turb vial broke after 3rd reading, replaced with spare (pre-verification vial)
yes	yes	yes	no	no	128	North Kihei	NMS	DG_IR	GB	PJ	NMC	NMC250327		Maalaea Condos	2025-03-27	8:15	4	2	8	4	10					NMC250327	25.0	33.8	7.19	104.2	8.00	31.7	29.5	32.1	31.1	0.045				N	0	0	0	very low tide, no wind, lots of green and brown limu, murky, little shorebreak, particulates in sample, 4th NTU=29.5, 5th NTU=32.1
yes	yes	yes	no	no	128	North Kihei	NMS	DG_IR	GB	PJ	NHP	NHP250327		Haycraft Park	2025-03-27	8:36	4	2	8	4	10					NHP250327	25.5	35.5	6.88	101.5	8.05	10.2	11.6	10.8	10.9	0.065				N	0	1	2	light breeze, sunny, 1-2ft shorebreak, very low tide
yes	yes	yes	no	no	128	North Kihei	NMS	DG_IR	GB	PJ	NKP	NKP250327		Kealia Pond	2025-03-27	9:00	4	2	8	4	10					NKP250327	25.9	36.1	6.86	102.3	8.11	2.32	2.19	2.27	2.26	0.029				N	0	3	0	very low tide, sunny, no wind, 2ft shorebreak, 2nd salinity read=36.1, 2nd DO read=6.86 mg/L 102.3% after unplugging and plugging back in, 2nd reading confirmed
yes	yes	yes	no	no	128	North Kihei	NMS	DG_IR	GB	PJ	NSB	NSB250327		Sugar Beach	2025-03-27	9:25	4	2	8	4	10					NSB250327	26.2	35.7	6.87	103.0	8.06	13.4	13.4	13.7	13.5	0.013				N	1	0	0	low tide, very light wind, sunny, 1ft of shorebreak, 4th NTU=13.4
yes	yes	yes	no	no	128	North Kihei	NMS	DG_IR	GB	PJ	NKC	NKC250327		Kihei Canoe Club	2025-03-27	9:45	4	2	8	4	10					NKC250327	26.3	35.1	6.75	101.0	8.04	35.8	38.2	38.7	37.6	0.041				N	0	2	0	1ft shorebreak, light wind, brown "normal" KCC conditions, beach looks cleaned up, particulates in sample, no sharks today, 4th turb=35.8, 5th turb=38.7
	yes	yes	no	no	129	North Kihei	NMS	DG_IR	GB	PJ	NMH	NMH250417		Maalaea Harbor	2025-04-17	7:50	3	5	9	3	11					NMH250417	25.1	35.8	6.50	95.8	8.09	1.20	1.17	1.21	1.19	0.017				N	0	0	0	falling tide, low tide -0.1m 11:20, partly cloudy, light wind, boat on dock engines off, tiny hair in turb vial, 4th NTU=1.35, 5th NTU=1.57, 6th NTU=1.20
	yes	yes	no	no	129	North Kihei	NMS	DG_IR	GB	PJ	NMC	NMC250417		Maalaea Condos	2025-04-17	8:16	3	5	9	3	11					NMC250417	25.3	35.1	7.26	107.1	8.06	5.30	5.76	5.56	5.54	0.042				N	0	4	0	very sunny, small shorebreak, no wind, water hazy and some limu, particles in turb vial
	yes	yes	no	no	129	North Kihei	NMS	DG_IR	GB	PJ	NHP	NHP250417		Haycraft Park	2025-04-17	8:37	3	5	9	3	11					NHP250417	25.5	35.9	6.87	102.2	8.10	3.86	4.00	3.96	3.94	0.018				N	2	3	0	sunny, 1ft shorebreak, low tide, 4th NTU=4.00, 5th NTU=3.96
	yes	yes	no	no	129	North Kihei	NMS	DG_IR	GB	PJ	NKP	NKP250417		Kealia Pond	2025-04-17	9:04	3	5	9	3	11					NKP250417	25.4	36.6	6.78	101.1	8.12	1.35	1.72	1.88	1.65	0.165				N	0	2	0	overcast, mild shorebreak, light wind, 4th NTU=2.32, 5thNTU=3.72, 6th NTU=1.88, sand in turb vial
	yes	yes	no	no	129	North Kihei	NMS	DG_IR	GB	PJ	NSB	NSB250417		Sugar Beach	2025-04-17	9:30	3	5	9	3	11					NSB250417	26.3	36.2	6.77	102.0	8.05	9.80	9.50	10.70	10.00	0.062				N	0	2	0	sunny, light onshore wind, 1ft shorebreak, nearshore water murky
	yes	yes	no	no	129	North Kihei	NMS	DG_IR	GB	PJ	NKC	NKC250417		Kihei Canoe Club	2025-04-17	9:50	3	5	9	3	11					NKC250417	26.7	35.4	6.59	99.9	8.05	47.80	46.50	47.00	47.10	0.014				N	0	0	0	sunny, light shorebreak and wind, normal brown NCC water
	yes	yes	no	no	130	North Kihei	NMS	DG	IR	GB	NMH	NMH250508		Maalaea Harbor	2025-05-08	7:50	4	2	8	4	10					NMH250508	24.9	35.5	6.46	94.6	8.09	1.32	1.29	1.20	1.27	0.049				N	0	0	0	~20knts wind trades, limu, low tide, water surface texture, boat docked, sunny, 4th turb=1.32
	yes	yes	no	no	130	North Kihei	NMS	DG	IR	GB	NMC	NMC250508		Maalaea Condos	2025-05-08	8:13	4	2	8	4	10					NMC250508	24.7	33.0	8.36	120.4	8.14	1.93	1.85	1.68	1.82	0.070				N	0	0	0	sunny, 10knts wind, very low tide, limu, turtle on beach resting, no waves, floaters in turb vial, 2nd reading DO confirmed, 4th NTU=2.34
	yes	yes	no	no	130	North Kihei	NMS	DG	IR	GB	NHP	NHP250508		Haycraft Park	2025-05-08	8:32	4	2	8	4	10					NHP250508	24.8	35.3	6.87	100.4	8.05	5.87	5.67	5.71	5.75	0.018				N	0	3	0	calm waters, trades still ~10knts, cloudy skies, 4th NTU=5.87
	yes	yes	no	no	130	North Kihei	NMS	DG	IR	GB	NKP	NKP250508		Kealia Pond	2025-05-08	8:56	4	2	8	4	10					NKP250508	25.8	36.3	6.83	102.1	8.12	1.14	1.05	1.25	1.15	0.087				N	0	2	0	low tide, calm water, wind died, 1ft shorebreak, partly sunny, 4th turb=1.42, 5th turb=1.14
	yes	yes	no	no	130	North Kihei	NMS	DG	IR	GB	NSB	NSB250508		Sugar Beach	2025-05-08	9:17	4	2	8	4	10					NSB250508	26.8	36.0	6.98	105.9	8.09	29.1	29.1	27.9	28.7	0.024				N	0	4	0	sunny, onshore wind, brown water 30 ft out, 1ft shorebreak
	yes	yes	no	no	130	North Kihei	NMS	DG	IR	GB	NKC	NKC250508		Kihei Canoe Club	2025-05-08	9:40	4	2	8	4	10					NKC250508	26.5	35.6	6.63	100.0	8.08	23.8	26.7	26.2	25.6	0.061				N	1	1	0	sunny, onshore wind, brown water 30 ft out, 1ft shorebreak, 4th NTU=23.8
